Run,RL,Dijkstra,AStar,Greedy
1,19.00,18.00,18.00,33.00
2,15.00,15.00,15.00,INF
3,22.00,20.00,20.00,45.00
4,21.00,17.00,17.00,42.00
5,15.00,15.00,15.00,41.00
6,23.00,17.00,17.00,42.00
7,20.00,17.00,17.00,39.00
8,19.00,17.00,17.00,INF
9,20.00,19.00,19.00,INF
10,19.00,19.00,19.00,48.00
11,16.00,16.00,16.00,30.00
12,23.00,18.00,18.00,39.00
13,19.00,19.00,19.00,INF
14,23.00,15.00,15.00,35.00
15,17.00,17.00,17.00,42.00
16,19.00,16.00,16.00,21.00
17,19.00,16.00,16.00,16.00
18,19.00,15.00,15.00,35.00
19,19.00,18.00,18.00,21.00
20,19.00,19.00,19.00,INF
